id,name_sci,name_en,name_sv
279,Penelope superciliaris,Rusty-margined Guan,blåkindad guan
280,Penelope dabbenei,Red-faced Guan,rödkindad guan
281,Penelope purpurascens,Crested Guan,tofsguan
282,Penelope perspicax,Cauca Guan,caucaguan
283,Penelope albipennis,White-winged Guan,vitvingad guan
284,Penelope jacquacu,Spix's Guan,spixguan
285,Penelope obscura,Dusky-legged Guan,mörkbent guan
286,Penelope bridgesi,Yungas Guan,yungasguan
287,Penelope pileata,White-crested Guan,vitkronad guan
288,Penelope ochrogaster,Chestnut-bellied Guan,rostbukig guan
289,Penelope jacucaca,White-browed Guan,vitbrynad guan
290,Pipile pipile,Trinidad Piping Guan,trinidadguan
291,Pipile cumanensis,Blue-throated Piping Guan,blåstrupig guan
292,Pipile cujubi,Red-throated Piping Guan,rödstrupig guan
293,Pipile jacutinga,Black-fronted Piping Guan,svartpannad guan
294,Aburria aburri,Wattled Guan,flikguan
295,Chamaepetes unicolor,Black Guan,svartguan
296,Chamaepetes goudotii,Sickle-winged Guan,blåmaskad guan
297,Penelopina nigra,Highland Guan,bergguan
298,Oreophasis derbianus,Horned Guan,hornguan
299,Nothocrax urumutum,Nocturnal Curassow,natthocko
300,Mitu tomentosum,Crestless Curassow,släthuvad hocko
301,Mitu salvini,Salvin's Curassow,salvinhocko
302,Mitu tuberosum,Razor-billed Curassow,knivhocko
303,Mitu mitu,Alagoas Curassow,alagoashocko
304,Pauxi pauxi,Helmeted Curassow,hjälmhocko
305,Pauxi unicornis,Horned Curassow,hornhocko
306,Pauxi koepckeae,Sira Curassow,sirahocko
307,Crax rubra,Great Curassow,större hocko
308,Crax alberti,Blue-billed Curassow,blånäbbad hocko
309,Crax daubentoni,Yellow-knobbed Curassow,gulknölshocko
310,Crax alector,Black Curassow,svarthocko
311,Crax globulosa,Wattled Curassow,gulflikig hocko
312,Crax fasciolata,Bare-faced Curassow,gulnäbbad hocko
313,Crax blumenbachii,Red-billed Curassow,rödnäbbad hocko
314,Agelastes meleagrides,White-breasted Guineafowl,kalkonpärlhöna
315,Agelastes niger,Black Guineafowl,svart pärlhöna
316,Numida meleagris,Helmeted Guineafowl,hjälmpärlhöna
317,Guttera plumifera,Plumed Guineafowl,plympärlhöna
318,Guttera pucherani,Crested Guineafowl,tofspärlhöna
319,Acryllium vulturinum,Vulturine Guineafowl,gampärlhöna
320,Ptilopachus petrosus,Stone Partridge,stenvaktel
321,Ptilopachus nahani,Nahan's Partridge,nahanvaktel
322,Dendrortyx leucophrys,Buffy-crowned Wood Partridge,vitpannad skogsvaktel
323,Dendrortyx macroura,Long-tailed Wood Partridge,långstjärtad skogsvaktel
324,Dendrortyx barbatus,Bearded Wood Partridge,rostbröstad skogsvaktel
325,Oreortyx pictus,Mountain Quail,bergtofsvaktel
326,Callipepla squamata,Scaled Quail,fjällig tofsvaktel
327,Callipepla douglasii,Elegant Quail,prakttofsvaktel
328,Callipepla californica,California Quail,kalifornisk tofsvaktel
329,Callipepla gambelii,Gambel's Quail,ökentofsvaktel
330,Philortyx fasciatus,Banded Quail,bandtofsvaktel
331,Colinus virginianus,Northern Bobwhite,vitstrupig vaktel
332,Colinus nigrogularis,Yucatan Bobwhite,svartstrupig vaktel
333,Colinus leucopogon,Spot-bellied Bobwhite,fläckbukig vaktel
334,Colinus cristatus,Crested Bobwhite,kronvaktel
335,Odontophorus gujanensis,Marbled Wood Quail,marmortandvaktel
336,Odontophorus capueira,Spot-winged Wood Quail,grå tandvaktel
337,Odontophorus melanotis,Black-eared Wood Quail,svartstrupig tandvaktel
338,Odontophorus erythrops,Rufous-fronted Wood Quail,rödpannad tandvaktel
339,Odontophorus atrifrons,Black-fronted Wood Quail,svartpannad tandvaktel
340,Odontophorus hyperythrus,Chestnut Wood Quail,svartfläckig tandvaktel
341,Odontophorus melanonotus,Dark-backed Wood Quail,mörkryggig tandvaktel
342,Odontophorus speciosus,Rufous-breasted Wood Quail,rödbröstad tandvaktel
343,Odontophorus dialeucos,Tacarcuna Wood Quail,tacarcunatandvaktel
344,Odontophorus strophium,Gorgeted Wood Quail,colombiatandvaktel
345,Odontophorus columbianus,Venezuelan Wood Quail,venezuelatandvaktel
346,Odontophorus leucolaemus,Black-breasted Wood Quail,vitstrupig tandvaktel
347,Odontophorus balliviani,Stripe-faced Wood Quail,diamanttandvaktel
348,Odontophorus stellatus,Starred Wood Quail,stjärntandvaktel
349,Odontophorus guttatus,Spotted Wood Quail,fläckig tandvaktel
350,Dactylortyx thoracicus,Singing Quail,sångvaktel
351,Cyrtonyx montezumae,Montezuma Quail,montezumavaktel
352,Cyrtonyx ocellatus,Ocellated Quail,glasögonvaktel
353,Rhynchortyx cinctus,Tawny-faced Quail,orangekindad vaktel
354,Xenoperdix udzungwensis,Udzungwa Forest Partridge,udzungwahöna
355,Xenoperdix obscuratus,Rubeho Forest Partridge,rubehohöna
356,Caloperdix oculeus,Ferruginous Partridge,rosthöna
357,Rollulus rouloul,Crested Partridge,tofshöna
358,Melanoperdix niger,Black Partridge,svarthöna
359,Arborophila torqueola,Hill Partridge,brunkronad sånghöna
360,Arborophila rufipectus,Sichuan Partridge,sichuansånghöna
361,Arborophila mandellii,Chestnut-breasted Partridge,sikkimsånghöna
362,Arborophila gingica,White-necklaced Partridge,rickettsånghöna
363,Arborophila rufogularis,Rufous-throated Partridge,roststrupig sånghöna
364,Arborophila rubrirostris,Red-billed Partridge,rödnäbbad sånghöna
365,Arborophila diversa,Siamese Partridge,thaisånghöna
366,Arborophila cambodiana,Chestnut-headed Partridge,kambodjasånghöna
367,Arborophila ardens,Hainan Partridge,hainansånghöna
368,Arborophila crudigularis,Taiwan Partridge,taiwansånghöna
369,Arborophila atrogularis,White-cheeked Partridge,vitkindad sånghöna
370,Arborophila brunneopectus,Bar-backed Partridge,brunbröstad sånghöna
371,Arborophila davidi,Orange-necked Partridge,davidsånghöna
372,Arborophila hyperythra,Red-breasted Partridge,borneosånghöna
373,Arborophila campbelli,Malayan Partridge,malajsånghöna
374,Arborophila rolli,Roll's Partridge,rollsånghöna
375,Arborophila sumatrana,Sumatran Partridge,sumatrasånghöna
376,Arborophila javanica,Chestnut-bellied Partridge,javasånghöna
377,Arborophila orientalis,Grey-breasted Partridge,vitmaskad sånghöna
378,Lerwa lerwa,Snow Partridge,sherpahöna
379,Ithaginis cruentus,Blood Pheasant,blodfasan
380,Tragopan melanocephalus,Western Tragopan,västlig tragopan
381,Tragopan satyra,Satyr Tragopan,satyrtragopan
382,Tragopan blythii,Blyth's Tragopan,gråbukig tragopan
383,Tragopan temminckii,Temminck's Tragopan,temmincktragopan
